index_column,taxumap1,taxumap2
PP125_16,18.074396,-4.2459607
PP126_-5,16.315783,-3.93848
PP126_-4,17.344467,-2.1665652
PP126_-3,19.94645,-3.160333
PP126_-2,18.04228,-4.2880473
PP126_0,18.028124,1.416372
PP126_1,18.046263,1.482402
PP126_2,17.960333,1.4814625
PP126_3,17.873915,1.3446738
PP126_4,18.110744,1.4105597
PP126_5,18.202473,1.5008874
PP126_6,17.672192,0.6524322
PP126_10,18.05471,1.3488834
PP126_11,17.691484,0.7079804
PP126_12,18.041702,1.2853527
PP127_-5,17.323677,-1.7511259
PP127_-4,17.228075,-1.6727588
PP127_-3,18.710157,-4.5886483
PP127_-2,17.295797,-1.9618728
PP127_-1,18.020191,5.4785185
PP127_1,17.303492,-2.4566262
PP127_2,17.679295,-3.2055268
PP127_3,18.646717,-4.486049
PP127_4,16.159544,-1.2285775
PP127_5,16.280212,-1.4118087
PP127_6,17.17448,-1.4467485
PP127_7,17.156384,-2.1290605
PP127_8,16.241714,-1.2834814
PP127_9,14.207342,-2.887612
PP127_10,15.662144,-3.0856743
PP127_11,17.374607,-2.1620593
PP127_12,20.308977,-3.176523
PP127_13,17.396288,-2.2679548
PP127_14,17.294847,-1.7728941
PP128_-2,18.503513,-4.3742843
PP128_-1,18.246975,-4.2487226
PP128_0,20.2041,-3.1961348
PP128_1,19.90443,-3.442315
PP128_2,19.247082,-3.5238967
PP128_3,18.13756,-3.7241175
PP128_4,18.133005,-3.7066972
PP128_5,17.617281,-3.1847908
PP128_6,18.97789,-3.6357603
PP128_7,18.058191,-3.627887
PP128_8,18.894285,-3.7860014
PP128_9,18.991827,-3.5155566
PP128_10,17.883783,-3.4175093
PP128_11,18.730333,-5.0474224
PP128_12,18.947693,-3.625788
PP128_13,19.110498,-3.6403606
PP128_14,19.447088,-3.0933547
PP128_15,18.141523,-3.7093098
PP128_16,18.783777,-3.7580943
PP128_17,18.209986,-3.6462762
PP128_18,16.997385,-3.6629944
PP128_19,18.641203,-3.9772148
PP128_20,18.629484,-4.557432
PP128_21,19.17686,-3.4806008
PP128_22,18.953213,-3.5689225
PP128_23,17.215849,-3.7345161
PP128_24,18.34585,-3.8312855
PP128_25,18.633287,-4.485485
PP128_26,18.59118,-4.2412763
PP129_-3,18.423124,-4.800968
PP129_-2,18.661667,-3.9465644
PP129_-1,17.031317,-3.1421323
